objectid,title,display_template,object_location,identifier,jats_journal_title,jats_volume,jats_issue,date,jats_season,description,type,creator_1,creator_2,creator_3,creator_4,creator_5,dc_contributor,subject,local_file_name,jats_fpage,jats_lpage,rights,jats_mixed_citation,jats_issn,dc_publisher,jats_alternate_title,language,language,jats_bio_1,jats_bio_2
qy8r-fyg8,Histoire de Danse et de Pluie,pdf,https://archive.nyu.edu/bitstream/2451/62287/1/Histoire_de_danse_et_de_pluie.pdf,https://doi.org/10.33682/qy8r-fyg8,Calabash: a Journal of Caribbean Arts and Letters,1,1,2000-09,Fall 2000,short story written in French,Fiction,"Dalembert, Louis-Phillippe",,,,,,Romance; Drama; Family; Romance Fiction; Memory In Literature,Histoire_de_danse_et_de_pluie.pdf,6,10,© 2001 New York University,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,fra/fre,,"LOUIS-PHILIPPE DALEMBERT’S published works include: L’Autre face de la mer; Le Crayon du Bon Dieu n’a pas de gomme; among others. His works have been translated in Italian, Danish, Serb and Portuguese. Born in Port-au-Prince, Haiti, he now lives in Paris, France.",
b6yp-nm1m,Le Jour Où J'ai Pleuré,pdf,https://archive.nyu.edu/bitstream/2451/62426/1/0202025.pdf,https://doi.org/10.33682/b6yp-nm1m,Calabash: a Journal of Caribbean Arts and Letters,2,2,2003-04,Summer/Fall 2003,short story written in French,Fiction,"Dalembert, Louis-Phillippe",,,,,,Romance; Drama; Family; Romance Fiction; Memory In Literature,0202025.pdf,25,35,© 2003 New York University,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,fra/fre,,"LOUIS-PHILIPPE DALEMBERT’S published works include: L’Autre face de la mer; Le Crayon du Bon Dieu n’a pas de gomme; among others. His works have been translated in Italian, Danish, Serb and Portuguese. Born in Port-au-Prince, Haiti, he now lives in Paris, France.",
rzfw-2g8m,Une Seduisante Femme D'age Mur Dine Dehors,pdf,https://archive.nyu.edu/bitstream/2451/62270/1/Une_Seduisante_Femme_Dage_Mur.pdf,https://doi.org/10.33682/rzfw-2g8m,Calabash: a Journal of Caribbean Arts and Letters,1,1,2001-09,Fall 2001,four-stanza poem originally written in French,poetry,"Owtram, Gerthie",,,,,,Dinners And Dining; Middle-aged Women; French Poetry,Une_Seduisante_Femme_Dage_Mur.pdf,69,69,© 2007 Calabash. All Rights Reserved.,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,An Attractive Middle-Aged Woman Dines Out,fra/fre,eng,"GERTHIE OWTRAM holds a Masters in Journalism degree from Columbia University, and spent several years as a professional journalist. She studied creative writing at The Writer’s Voice. She is currently working on a book of essays about life in the Caribbean. An Anthology of poetry entitled Three Jewels- Selected Poets will be published by an affiliated of Barnes and Nobles. She has also completed a work of erotic fiction entitled Tropical Sensations of Natural Pleasures, and has published a chapbook of selected poems from earlier works called Then. A featured reader of the New York Public Library Reading series, Poetry In The Branches, Ms. Owtram believes that all profound human experiences eventually become poetry. Married with a son, she lives in the French West Indies and in New York.",
5jps-dy9t,Sweet Lianas / Lanes Douches,pdf,https://archive.nyu.edu/bitstream/2451/62343/1/Sweet_Lianas.pdf,https://doi.org/10.33682/5jps-dy9t,Calabash: a Journal of Caribbean Arts and Letters,1,2,2001-03,,four-stanza poem originally written in French,poetry,"Zobel, Joseph",,,,,Christopher Winks,French Poetry; Garden Archaeology; Garden Animals,Sweet_Lianas.pdf,13,13,© 2001 New York University,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Sweet Lianas,fra/fre,eng,"JOSEPH ZOBEL was born in 1915 in Martinique. He is the author of several novels and short-stories in which social issues are at the forefront. An award-winning movie, Sugar Cane Alley, was made after Zobel's famous novel, La Rue Cases-Negres. Joseph Zobel spent some time in Senegal, and lives now in the Southern part of France.",
zz6u-8q15,In The Depth Of The Night,pdf,https://archive.nyu.edu/bitstream/2451/62332/1/In_The_Depth_Of_The_Night.pdf,https://doi.org/10.33682/zz6u-8q15,Calabash: a Journal of Caribbean Arts and Letters,1,2,2001-03,Spring/Summer 2001,poem in Dutch with side-by-side translation in English,poetry,"Vrede, Dorus",,,,,Hilda Van Neck-Yoder,Dutch Poetry; Nature;  Music,In_The_Depth_Of_The_Night.pdf,10,11,© Copyright Calabash. All Rights Reserved,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,In de holte van de nacht,eng,nld,"Born in Brokopondo, Suriname, DORUS VREDE records the oral culture of the Maroons of Suriname. He writes poetry in Saramaccan and in Sranan. Teacher, composer, and author, he has published widely, including in the 1998 special issue of Callaloo. Vrede received the 1996 SaAmeva Award for ""Best Poet of the Interior."" He lives in Paramaribo.

",
qdus-10n4,I Did Not Follow,pdf,https://archive.nyu.edu/bitstream/2451/62321/1/I_Did_Not_Follow.pdf,https://doi.org/10.33682/qdus-10n4,Calabash: a Journal of Caribbean Arts and Letters,1,2,2001-03,Spring/Summer 2002,poem in Dutch with side-by-side translation,poetry,"Vrede, Dorus",,,,,Hilda Van Neck-Yoder,Religion; Children; Nature; Dutch Poetry,I_Did_Not_Follow.pdf,9,9,© 2007 Calabash. All Rights Reserved.,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Ik heb de monniken,eng,nld,"Born in Brokopondo, Suriname, DORUS VREDE records the oral culture of the Maroons of Suriname. He writes poetry in Saramaccan and in Sranan. Teacher, composer, and author, he has published widely, including in the 1998 special issue of Callaloo. Vrede received the 1996 SaAmeva Award for ""Best Poet of the Interior."" He lives in Paramaribo.
","HILDA VAN NECK-YODER is Professor of Comparative Literature at Howard University. She has published on Caribbean literature and was the guest editor of the special issue of Callaloo on the literature of the ""Dutch"" Caribbean (21.3, 1998)."
uyq4-zvud,"My Love, A Ribbon In The Wind/ Mi Amor, Un Sinta",pdf,https://archive.nyu.edu/bitstream/2451/62300/1/My_Love_A_Ribbon_In_The_Wind.pdf,https://doi.org/10.33682/uyq4-zvud,Calabash: a Journal of Caribbean Arts and Letters,1,2,2001-03,Spring/Summer 2001,12 stanza poem in Papiamento with a translation in English,poetry,"Ecury, Nydia",,,,,,"Papiamentu Poetry; 
Daughters; Love Poetry",My_Love_A_Ribbon_In_The_Wind.pdf,63,64,© 2001 New York University,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,pap,eng,"ruba born NYDIA ECURY has lived in Curaçao since 1957. For the past 42 years she has been active as an actress of stage and screen, a translator of plays into her native language, Papiamentu, a writer of poetry and prose in Papiamentu, English and Dutch. She has published five poetry collections and various children's stories. Ecury has represented the Netherlands Antilles more than 20 times during literary festivals in the Caribbean region, in Venezuela, in Holland and in the U.S. She is best known for her poetry recitals, mostly with musical accompaniment. Her one-woman show of 1980 had nostalgic repeat performances. For her cultural contributions she has been awarded two decorations by the Dutch Royal House. Professionally, Nydia Ecury was an English teacher in government service until 1987. Her brother, Boy Ecury, is the Aruban World War II hero. Studying in Holland, when the war broke out, he joined the Resistance; he was caught and put to death by the then enemy when he refused to betray his comrades. The Aruba community has erected a monument in the capital of Oranjestad to honour his heroic deeds.",
3ds9-uswj,Working out Grenada: An Interview With Merle Collins,pdf,https://archive.nyu.edu/bitstream/2451/62551/1/0302053.pdf,https://doi.org/10.33682/3ds9-uswj,Calabash: a Journal of Caribbean Arts and Letters,3,2,2005-09,Fall/Winter 2005,"Interview with author Merle Collins about her childhood, education, and work",Interview,"Bishop, Jacqueline","McLean, Dolace",,,,,Grenada--politics And Government; Writing; Carribean Area,0302053.pdf,53,65,© Copyright Calabash. All Rights Reserved,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,eng,,"JACQUELINE BISHOP is the founding editor of Calabash: A Journal of Caribbean arts and Letters. Her fiction, poetry and other writings have been widely published. DOLACE MCLEAN an associate editor at Calabash, is a lawyer who is completing a Ph.D. in English Literature at New York University. Her dissertation looks at Postcolonial Property issues in Caribbean literature and literary scholarship. She thinks Calabash is one of the best literary creations ever.",
05n3-f6k0,Maria Antonia,pdf,https://archive.nyu.edu/bitstream/2451/62398/1/Maria_Antonia.pdf,https://doi.org/10.33682/05n3-f6k0,Calabash: a Journal of Caribbean Arts and Letters,2,1,2002-09,Fall 2002,"modern Cuban play about the working-class, multi-racial barrio",drama,"Hernández Espinoza, Eugenio",,,,,Christopher Winks,"Cuban Drama; Class, Culture; Afro-cubans",Maria_Antonia.pdf,104,118,© 2007 Calabash. All Rights Reserved.,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,eng,,"CHRISTOPHER WINKS is a writer and translator. His translation of the Cuban playwright Alberto Pedro's controversial play Manteca appeared in TDR T-149 (Spring 1996). He is presently working on a study entitled Golden Lands, Magic Cities: (Trans)Figurations of Utopia in Caribbean Literature.
","Eugenio Hernandez Espinosa was a Cuban writer and actor born on November 15, 1936, in Havana, Cuba. He was known for his work in theater, film, and television. His writing often explored Cuban popular culture and Afro-Cuban traditions. Some of his notable works include the screenplay for the film ¡Patakín! quiere decir ¡fábula! (1985), as well as the plays The Useless Death of My Pal, Manolo (1989) and María Antonia (1990). Espinosa also served as the artistic and general director of the Teatro Caribeño. He passed away on October 14, 2022, in Havana, Cuba. *note that this was sourced externally and must be cited from https://www.imdb.com/name/nm0260980/bio/?ref_=nm_ov_bio_sm and https://www.ecured.cu/Eugenio_Hern%C3%A1ndez_Espinosa"
a57e-knkw,Maria Antonia,pdf,https://archive.nyu.edu/bitstream/2451/62399/1/Maria_Antonia-Christopher_Winks.pdf,https://doi.org/10.33682/a57e-knkw,Calabash: a Journal of Caribbean Arts and Letters,2,1,2002-09,Fall 2002,"Article detailing Eugenio Hernandez's life and his play ""Maria Antonia""",article,"Hernández Espinoza, Eugenio","Winks, Christopher",,,,,Cuban Drama; Biography,Maria_Antonia-Christopher_Winks.pdf,101,103,© 2007 Calabash. All Rights Reserved.,,1531-6661,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,,eng,,"CHRISTOPHER WINKS is a writer and translator. His translation of the Cuban playwright Alberto Pedro's controversial play Manteca appeared in TDR T-149 (Spring 1996). He is presently working on a study entitled Golden Lands, Magic Cities: (Trans)Figurations of Utopia in Caribbean Literature.
","Eugenio Hernandez Espinosa was a Cuban writer and actor born on November 15, 1936, in Havana, Cuba. He was known for his work in theater, film, and television. His writing often explored Cuban popular culture and Afro-Cuban traditions. Some of his notable works include the screenplay for the film ¡Patakín! quiere decir ¡fábula! (1985), as well as the plays The Useless Death of My Pal, Manolo (1989) and María Antonia (1990). Espinosa also served as the artistic and general director of the Teatro Caribeño. He passed away on October 14, 2022, in Havana, Cuba. *note that this was sourced externally and must be cited from https://www.imdb.com/name/nm0260980/bio/?ref_=nm_ov_bio_sm and https://www.ecured.cu/Eugenio_Hern%C3%A1ndez_Espinosa"
